caseid,SpendUnemp,TaxUnempCorrect,KnowledgeIndex2,GOP,KnowledgeIndex2GOP,EducGOP,Educ,AgeGOP,Age,MaleGOP,Male,WhiteGOP,White
424,2,2,3,0,0,0,2,0,52,0,1,0,1
425,1,2,3,0,0,0,4,0,19,0,0,0,0
426,2,1,4,1,4,4,4,51,51,0,0,1,1
427,3,2,9,0,0,0,3,0,56,0,0,0,1
428,2,3,7,1,7,4,4,63,63,0,0,1,1
429,1,3,8,1,8,4,4,36,36,0,0,1,1
430,2,1,9,0,0,0,3,0,52,0,1,0,0
431,2,3,6,1,6,3,3,55,55,0,0,1,1
432,1,2,3,0,0,0,2,0,53,0,0,0,0
433,2,2,4,0,0,0,3,0,54,0,0,0,1
434,2,2,8,0,0,0,6,0,29,0,1,0,1
435,1,3,8,0,0,0,2,0,56,0,1,0,1
436,3,1,5,0,0,0,4,0,61,0,0,0,0
437,3,2,7,0,0,0,2,0,56,0,1,0,0
438,1,1,5,1,5,5,5,45,45,1,1,0,0
439,1,3,3,1,3,2,2,53,53,1,1,1,1
440,1,3,8,1,8,3,3,53,53,1,1,0,0
441,2,2,8,0,0,0,2,0,40,0,1,0,0
442,1,3,7,0,0,0,2,0,53,0,1,0,1
443,1,3,9,1,9,2,2,48,48,1,1,1,1
444,1,2,8,0,0,0,2,0,27,0,1,0,1
445,2,2,5,0,0,0,3,0,56,0,1,0,0
446,3,1,5,0,0,0,3,0,37,0,1,0,0
447,1,3,9,0,0,0,5,0,39,0,1,0,0
448,2,2,9,0,0,0,2,0,58,0,1,0,1
449,2,3,3,1,3,1,1,70,70,1,1,1,1
450,1,3,8,0,0,0,2,0,52,0,1,0,1
451,3,2,8,0,0,0,5,0,28,0,1,0,1
452,2,2,3,1,3,1,1,70,70,1,1,1,1
453,1,3,6,1,6,2,2,51,51,0,0,1,1
454,2,2,4,0,0,0,3,0,51,0,0,0,0
455,3,2,9,0,0,0,5,0,29,0,0,0,0
456,3,2,1,1,1,3,3,23,23,0,0,1,1
457,1,3,4,0,0,0,2,0,51,0,1,0,1
458,1,2,9,0,0,0,2,0,52,0,1,0,0
459,2,2,2,0,0,0,1,0,31,0,0,0,0
460,2,2,4,0,0,0,2,0,33,0,0,0,0
