CourseID,InstrID,Year,Required,Eval,Apct,Enrollment
1209,22,200809,0,4.79,.5,14
1301,22,200809,0,4.5999999,.47,15
1640,22,200809,0,4.6399999,.73000002,11
1209,22,200910,0,4.5599999,.34999999,17
1215,22,200910,0,4.8499999,.76999998,22
1634,22,200910,0,4.5799999,.61000001,12
1215,22,201011,0,4.79,.54000002,24
1248,22,201011,0,5,.67000002,18
1301,22,201011,0,4.9299998,.52999997,15
1640,22,201011,0,4.7800002,.80000001,10
1209,22,201112,0,4.6900001,.44,16
1248,22,201112,0,4.8200002,.40000001,48
1634,22,201112,0,5,.28999999,7
1640,22,201213,0,5,1,4
1290,23,200304,0,4.5700002,.52999997,57
1329,23,200304,0,4.5799999,.70999998,52
1334,23,200304,0,4.6500001,.89999998,20
26,23,200304,0,4.9299998,.93000001,15
1290,23,200405,0,4.7199998,.49000001,61
1329,23,200405,0,4.6900001,.76999998,53
1334,23,200405,0,4.7399998,.76999998,22
1290,23,200607,0,4.8000002,.44,50
1306,23,200607,0,4.8200002,.89999998,19
1329,23,200607,0,4.71,.82999998,48
1334,23,200607,0,4.71,.94,17
1290,23,200708,0,4.8000002,,62
1306,23,200708,0,4.8200002,,18
1329,23,200708,0,4.4299998,,57
1334,23,200708,0,4.8499999,,14
1290,23,200809,0,4.6900001,.64999998,57
1306,23,200809,0,4.8899999,.94999999,21
1290,23,200910,0,4.6500001,.2,62
1309,23,200910,0,4.3800001,.80000001,18
1008,24,200405,1,4.5999999,.36000001,194
1282,24,200405,0,4.8099999,.44,39
1008,25,200304,1,2.6099999,.51999998,86
1291,25,200304,0,3.9300001,.73000002,15
1305,25,200304,0,4.3600001,.75,16
1291,25,200405,0,5,.86000001,7
1291,25,200405,0,2.8499999,.88,16
1305,25,200405,0,4.7800002,.81999999,11
1305,25,200405,0,3.54,1,14
1362,25,200405,0,3.53,.83999997,19
1261,25,200607,0,5,1,2
1288,25,200708,0,4.4000001,,6
1291,25,200708,0,4.5799999,,15
1303,25,200708,0,4.5,,7
1362,25,200708,0,4.25,,6
1636,25,200708,0,4.5999999,,5
1214,25,200809,0,3.7,.80000001,10
1303,25,200809,0,4.25,.75,4
1352,25,200809,0,3.8900001,.75,10
1636,25,200809,0,3.8800001,.69999999,10
1291,25,200910,0,3.55,.64999998,40
1303,25,200910,0,4.0799999,.80000001,15
1352,25,200910,0,4.1500001,.75,15
1636,25,200910,0,3.5,.75,4
1352,25,201011,0,4.1999998,.75,11
1636,25,201011,0,4.75,.75,4
1291,25,201112,0,3.4400001,.87,47
1321,25,201112,0,3.75,.88,17
1345,25,201112,0,4.4299998,.73000002,15
1352,25,201112,0,3.9300001,.79000002,28
1589,25,201112,1,2.8199999,,20
1345,25,201213,0,3.79,.81,42
1352,25,201213,0,4.1999998,.82999998,12
893,26,200809,1,4.75,.20999999,143
893,26,200809,1,4.6700001,.41999999,149
1207,26,200809,0,5,.47,16
893,26,200910,1,4.6700001,.37,135
893,26,201213,1,4.1900001,.34999999,245
1210,26,201213,0,4.1500001,.47,15
1210,26,201213,0,4.3600001,.38,16
1651,26,201213,0,4.8299999,1,7
1433,27,200304,0,4.9000001,.5,8
28,27,200304,0,4.1100001,.46000001,11
35,27,200304,0,4.6700001,.88999999,9
38,27,200304,0,3.8900001,.69999999,20
893,27,200405,1,4.52,.2,149
1433,27,200405,0,4.8000002,1,5
33,27,200405,0,4.6700001,.67000002,3
35,27,200405,0,4.6399999,.93000001,14
1280,28,200607,0,4.1399999,.55000001,47
1417,28,200607,0,4.29,.5,8
48,28,200607,1,,.58999997,51
1523,28,200708,0,4.5,,16
1611,28,200708,0,5,,6
48,28,200708,1,4.5900002,,19
48,28,200708,1,4.9000001,,23
48,28,200809,1,4.0599999,.44,23
48,28,200809,1,3.1800001,.46000001,26
1280,28,200910,0,4.4200001,.44,41
1611,28,200910,0,5,1,4
1120,29,200304,0,4.5700002,.37,49
1129,29,200304,0,4.5799999,.67000002,57
1139,29,200304,0,4.7600002,.55000001,22
1414,29,200304,0,5,1,2
895,29,200405,1,4.5599999,.47999999,98
1129,29,200405,0,4.25,.44999999,51
1139,29,200405,0,5,.31,13
1139,29,200405,0,4.6700001,.92000002,13
1120,29,200607,0,4.23,.47999999,48
1129,29,200607,0,4.52,.49000001,49
1139,29,200607,0,4.71,.86000001,14
1415,29,200607,0,4.5999999,1,16
1129,29,200708,0,4.71,,49
1139,29,200708,0,4.9299998,,14
1409,29,200708,0,4.8000002,,15
1415,29,200708,0,4.9000001,,10
1139,29,200809,0,4.9200001,.60000002,15
1515,29,200809,0,4.9099998,.60000002,11
1129,29,200910,0,4.73,.47999999,45
1139,29,200910,0,4.9299998,.66000003,15
1409,29,200910,0,4.77,1,16
1515,29,200910,0,4.4400001,.81999999,9
